,0,1,2,3,4,5,6,7,8,9,10,11,23,22
0,M001158,0.0,1382298.68, KENNY E MR. MARCHANT,REP,I,893439.82,528905.18,174775.0,718664.82,1033312.66,200.0,Kenny Marchant,House
1,B001248,0.0,478104.99, MICHAEL C. DR. BURGESS,REP,I,1361204.87,1091006.23,376458.49,984746.38,1364055.55,7593.58,Michael Burgess,House
2,I000057,0.0,933449.34, STEVE J. ISRAEL,DEM,I,1425764.18,1166298.1,896153.71,529610.47,1432208.36,3735.87,Steve Israel,House
3,W000813,0.0,55985.13, JACKIE WALORSKI SWIHART,REP,I,1880806.57,2080501.63,1000001.88,880804.69,1898007.35,4500.0,Jackie Walorski,House
4,B001290,0.0,168013.54, DAVID ALAN MR. BRAT,REP,I,1218162.14,1166347.78,1042812.16,169794.56,1273941.57,11061.0,David Brat,House
5,B001277,0.0,2953419.0, RICHARD BLUMENTHAL,DEM,I,7253216.0,5070058.0,5512687.0,1698372.0,7362368.0,68263.0,Richard Blumenthal,Senate
6,T000478,252640.89,87416.16, CLAUDIA TENNEY,REP,O,911509.1,889095.44,586674.1,319585.0,971967.05,1200.0,Claudia Tenney,House
7,K000391,1046.05,925882.71, S. RAJA KRISHNAMOORTHI,DEM,O,3571882.44,2646752.35,2975414.21,583011.84,3572635.06,10149.47,Raja Krishnamoorthi,House
8,B001298,35000.0,30736.02, DONALD BACON,REP,C,1606155.1,1579008.03,1027119.25,547450.0,1607044.1,2825.0,Don Bacon,House
9,R000601,294250.0,128611.59, JOHN L RATCLIFFE,REP,I,922260.25,910084.89,430467.96,491792.29,926921.79,4750.0,John Ratcliffe,House
10,D000216,0.0,15216.06, ROSA L DELARUO,DEM,I,1141138.52,1150878.91,556966.37,584172.15,1146729.78,0.0,Rosa DeLauro,House
11,G000535,0.0,156161.75, LUIS V GUTIERREZ,DEM,I,507169.08,560492.3,174351.18,332817.9,525090.18,1400.0,Luis Gutiérrez,House
12,L000577,0.0,347208.0, MIKE LEE,REP,I,3912645.73,4001943.25,2966375.73,941170.0,3981888.49,210251.0,Mike Lee,Senate
13,S001175,9800.31,1542893.67, JACKIE SPEIER,DEM,I,868436.66,609007.1,507649.83,360754.7,874657.21,500.0,Jackie Speier,House
14,G000566,0.0,667018.58, TREY GOWDY,REP,I,1895113.8,1588411.29,1592113.8,303000.0,1902503.31,25820.0,Trey Gowdy,House
15,J000294,0.0,1011604.86, Hakeem Jeffries,DEM,I,1286940.1,791629.45,720875.18,566064.92,1294870.12,7010.0,Hakeem Jeffries,House
16,K000385,0.0,394085.2, ROBIN L. KELLY,DEM,I,1110068.09,838787.75,423880.35,686187.74,1110806.16,11746.57,Robin Kelly,House
17,P000597,20000.0,533293.6, CHELLIE M PINGREE,DEM,I,612776.1,296523.89,400839.26,170950.0,614358.96,3116.67,Chellie Pingree,House
18,D000628,342385.31,12922.95, NEAL PATRICK MD DUNN,REP,O,1407852.58,2047935.63,1031982.42,366650.0,2060858.58,1800.0,Neal Dunn,House
19,B001304,51000.0,171393.09, ANTHONY GREGORY BROWN,DEM,O,1240675.05,1478598.99,802321.4,432853.65,1649992.08,7845.0,Anthony Brown,House
20,B001289,0.0,446318.33, BRADLEY ROBERTS BYRNE,REP,I,1334317.77,1172750.28,491117.77,843200.0,1367469.77,1100.0,Bradley Byrne,House
21,H001068,192.45,600808.34, JARED HUFFMAN,DEM,I,969170.37,757560.62,559633.89,409486.48,973816.67,10530.0,Jared Huffman,House
22,T000472,0.0,116212.76, MARK TAKANO,DEM,I,1064473.0,999113.21,742940.86,321500.0,1075393.13,7848.07,Mark Takano,House
23,M001156,0.0,1395807.38, PATRICK TIMOTHY MCHENRY,REP,I,2814937.38,2670567.42,1110727.4,1703709.98,3226166.96,30200.0,Patrick McHenry,House
24,H001075,2629.0,929433.0, KAMALA D HARRIS,DEM,O,14165901.0,14420677.0,13300427.0,865472.0,15350110.0,271810.0,Kamala Harris,Senate
25,P000608,250000.0,1073307.61, SCOTT PETERS,DEM,I,3556492.29,2600005.82,1909374.06,1526653.33,3604614.7,56348.66,Scott Peters,House
26,M000689,0.0,89573.62, JOHN L. MR. MICA,REP,I,1643765.52,1828019.08,777737.33,866028.19,1646784.85,21052.34,John Mica,House
27,M001181,0.0,1935355.56, PATRICK L. MR. MEEHAN,REP,I,2411483.69,2172511.18,857431.68,1552902.01,2436664.37,4609.32,Pat Meehan,House
28,F000465,0.0,42122.76, ANDERSON DREW IV FERGUSON,REP,O,1258245.34,1216231.22,734140.5,524104.84,1258353.98,2750.0,A. Ferguson,House
29,M001137,0.0,123600.79, GREGORY W. MEEKS,DEM,I,985897.38,1031865.64,226597.38,759300.0,990039.17,0.0,Gregory Meeks,House
30,R000409,0.0,237775.2, DANA ROHRABACHER,REP,I,849046.36,659108.23,802689.36,46357.0,887923.35,11850.0,Dana Rohrabacher,House
31,F000458,0.0,2706654.18, STEVE MR. FINCHER,REP,I,498350.32,347280.08,31150.32,467200.0,509604.86,1000.0,Stephen Fincher,House
32,K000390,56451.76,16494.0, RUBEN KIHUEN,DEM,C,2217739.46,2238399.73,1592392.68,613767.41,2248239.36,26020.68,Ruben Kihuen,House
33,F000445,0.0,19.26, J. RANDY FORBES,REP,I,1615954.79,2159026.19,1122038.47,493916.32,1619612.74,254906.03,J. Forbes,House
34,G000556,2401501.32,71055.66, ALAN MARK GRAYSON,DEM,I,403916.94,428194.77,366916.94,37000.0,453917.83,5270.16,Alan Grayson,House
35,M001194,35946.71,37623.85, JOHN MOOLENAAR,REP,I,1033802.95,1045552.12,500797.53,530705.42,1055125.41,3100.0,John Moolenaar,House
36,H001070,0.0,24152.17, CRESENT HARDY,REP,I,1763024.19,1931341.23,871829.19,890945.0,1892629.38,15850.0,Cresent Hardy,House
37,H001059,0.0,162199.05, RANDY HULTGREN,REP,I,1174797.44,1301824.3,306414.73,868382.71,1183161.68,3000.0,Randy Hultgren,House
38,G000563,10000.0,940533.79, ROBERT GIBBS,REP,I,899216.71,825887.18,275096.43,624120.28,899319.05,0.0,Bob Gibbs,House
39,E000290,0.0,0.0, DONNA FERN EDWARDS,DEM,,0.0,0.0,0.0,0.0,0.0,0.0,Donna Edwards,House
40,S001188,36444.0,877.0, MARLIN A STUTZMAN,REP,O,2402125.0,2927150.62,2061718.0,339237.0,2459512.0,319129.0,Marlin Stutzman,House
41,L000580,0.0,30505.19, MICHELLE LUJAN GRISHAM,DEM,I,1819378.95,2038669.08,1004681.73,814675.0,1885721.53,42428.23,Michelle Lujan Grisham,House
42,Q000023,0.0,692556.31, MIKE QUIGLEY,DEM,I,1012500.29,829547.64,444475.29,567875.0,1013643.52,2300.0,Mike Quigley,House
43,M000404,0.0,120887.45, JAMES MCDERMOTT,DEM,I,277155.1,195568.27,109455.1,167700.0,277655.1,0.0,Jim McDermott,House
44,F000448,81100.0,7449.97, TRENT FRANKS,REP,I,361598.0,360898.55,147498.0,214100.0,362299.08,735.0,Trent Franks,House
45,F000462,0.0,812067.59, LOIS J. FRANKEL,DEM,I,1643585.1,904770.06,1073063.98,570498.9,1644081.84,4350.0,Lois Frankel,House
46,P000604,0.0,77030.71, DONALD M. PAYNE,DEM,I,539932.13,492535.99,140202.29,399729.84,538946.11,5425.0,Donald Payne Jr.,House
47,C001102,3825000.0,208196.26, CURTIS J CLAWSON,REP,I,385515.23,213935.52,380515.23,5000.0,385515.23,6500.0,Curt Clawson,House
48,M001157,85000.0,105724.96, MICHAEL MCCAUL,REP,I,1724788.42,1730835.84,979521.18,745060.44,1774897.36,42195.0,Michael McCaul,House
49,B001293,20000.0,92183.07, MIKE BISHOP,REP,I,1630146.15,1588475.7,705311.92,909834.23,1640069.76,100.0,Mike Bishop,House
50,B001285,0.0,1649893.27, JULIA BROWNLEY,DEM,I,3349278.78,2023025.27,2290350.61,1051601.82,3397538.71,63225.82,Julia Brownley,House
51,B000490,0.0,198178.93, SANFORD D JR BISHOP,DEM,I,1111033.94,1058907.1,300222.51,809811.43,1112769.74,0.0,Sanford Bishop Jr.,House
52,C001067,77748.62,85192.45, YVETTE D CLARKE,DEM,I,683740.85,719156.42,209216.31,474524.54,685410.46,2510.0,Yvette Clarke,House
53,S000148,0.0,10676815.0, CHARLES E SCHUMER,DEM,I,16902919.0,20175908.0,13423865.0,3479053.0,17442741.0,259678.0,Charles Schumer,Senate
54,M001144,0.0,286591.64, JEFFERSON B. MILLER,REP,I,808586.23,696143.16,447872.33,360713.9,810634.1,218000.0,Jeff Miller,House
