rep_id,bi_sponsor_bi,bi_sponsor_count,cosponsor_count,cosponsor_normalized,cosponsor_rank,dw_nominate,missed_votes_pct,name,party,seniority,sponsor_count,sponsor_normalized,sponsor_rank,state,top_cosponsor_subjects,top_sponsor_subjects,total_votes,votes_with_party_pct,color,size,bi_pct,chamber,congress
L000174,3,11,185,0.847697387,7,-0.375,1.9,Patrick Leahy,D,43,11,0.609375,44,VT,"[(Health, 27), (Crime and law enforcement, 22), (Government operations and politics, 18), (Taxation, 16), (International affairs, 15)]","[(Government operations and politics, 2), (Taxation, 2), (Commerce, 1), (Crime and law enforcement, 1), (Immigration, 1)]",263,96.51,blue,20,0.272727273,senate,115
B001288,9,35,252,0.721729271,33,-0.588,0.76,Cory Booker,D,5,35,0.6703125,36,NJ,"[(International affairs, 30), (Health, 29), (Crime and law enforcement, 20), (Armed forces and national security, 17), (Civil rights and liberties, minority issues, 17)]","[(Crime and law enforcement, 8), (Government operations and politics, 5), (Health, 3), (Immigration, 2), (Environmental protection, 2)]",263,83.91,blue,20,0.257142857,senate,115
W000779,14,53,211,0.70287402,37,-0.314,0,Ron Wyden,D,22,53,0.730100236,28,OR,"[(International affairs, 23), (Government operations and politics, 20), (Crime and law enforcement, 17), (Public lands and natural resources, 15), (Armed forces and national security, 14)]","[(Taxation, 7), (Public lands and natural resources, 7), (Crime and law enforcement, 6), (Health, 5), (Energy, 4)]",263,89.35,blue,20,0.264150943,senate,115
S001184,10,16,91,0.664335664,50,0.669,0.38,Tim Scott,R,5,16,0.407670455,36,SC,"[(Labor and employment, 11), (Finance and financial sector, 11), (Health, 10), (International affairs, 8), (Crime and law enforcement, 7)]","[(Taxation, 4), (Sports and recreation, 2), (Crime and law enforcement, 2), (Health, 2), (Education, 2)]",263,98.47,red,20,0.625,senate,115
M001176,3,15,258,0.652510954,47,-0.436,1.14,Jeff Merkley,D,9,15,0.73125,27,OR,"[(International affairs, 28), (Health, 23), (Taxation, 22), (Armed forces and national security, 20), (Government operations and politics, 20)]","[(Energy, 4), (Health, 3), (Native Americans, 3), (Public lands and natural resources, 2), (Finance and financial sector, 1)]",263,86.54,blue,20,0.2,senate,115
T000476,3,8,148,0.890663391,7,0.441,3.8,Thom Tillis,R,3,8,0.318181818,48,NC,"[(Armed forces and national security, 33), (Crime and law enforcement, 21), (International affairs, 14), (Finance and financial sector, 11), (Health, 10)]","[(Immigration, 2), (Crime and law enforcement, 1), (Animals, 1), (Energy, 1), (Public lands and natural resources, 1)]",263,99.21,red,20,0.375,senate,115
M001170,13,20,144,0.956838049,2,-0.147,4.94,Claire McCaskill,D,11,20,0.868359375,11,MO,"[(Government operations and politics, 27), (Health, 19), (Armed forces and national security, 12), (Crime and law enforcement, 9), (Taxation, 8)]","[(Government operations and politics, 6), (Armed forces and national security, 3), (Emergency management, 2), (Transportation and public works, 2), (Education, 2)]",263,86,blue,20,0.65,senate,115
S001181,10,39,225,0.741532091,24,-0.272,0.38,Jeanne Shaheen,D,9,39,1,1,NH,"[(Health, 31), (International affairs, 27), (Taxation, 21), (Armed forces and national security, 20), (Government operations and politics, 13)]","[(International affairs, 10), (Energy, 6), (Crime and law enforcement, 4), (Taxation, 3), (Health, 3)]",263,95.04,blue,20,0.256410256,senate,115
C000567,0,2,97,0.803655108,22,0.286,11.41,Thad Cochran,R,39,2,0.477272727,20,MS,"[(Health, 18), (Crime and law enforcement, 11), (Taxation, 10), (Finance and financial sector, 8), (Armed forces and national security, 7)]","[(Public lands and natural resources, 2)]",263,99.14,red,20,0,senate,115
V000128,1,7,209,0.721586575,34,-0.4,0.76,Chris Van Hollen,D,1,7,0.609375,44,MD,"[(Health, 23), (Government operations and politics, 23), (Armed forces and national security, 22), (International affairs, 19), (Crime and law enforcement, 16)]","[(Finance and financial sector, 1), (Congress, 1), (Taxation, 1), (Transportation and public works, 1), (International affairs, 1)]",263,95.02,blue,20,0.142857143,senate,115
