id,bi_sponsor_bi,bi_sponsor_count,cosponsor_count,cosponsor_normalized,cosponsor_rank,dw_nominate,missed_votes_pct,name,party,seniority,sponsor_count,sponsor_normalized,sponsor_rank,state,top_cosponsor_subjects,top_sponsor_subjects,total_votes,votes_with_party_pct,color,size,bi_pct,chamber,congress
L000174,3,13,196,0.85602433281,7,-0.375,1.65,Patrick Leahy,D,43,13,0.6,45,VT,"[(Health, 27), (Crime and law enforcement, 23), (Government operations and politics, 18), (Taxation, 18), (International affairs, 16)]","[(Taxation, 3), (Government operations and politics, 2), (Commerce, 1), (Crime and law enforcement, 1), (Immigration, 1)]",303.0,96.98,blue,20,0.230769230769,senate,115
B001288,8,35,275,0.714545454545,34,-0.588,4.29,Cory Booker,D,5,35,0.66,38,NJ,"[(International affairs, 32), (Health, 31), (Crime and law enforcement, 23), (Armed forces and national security, 20), (Labor and employment, 18)]","[(Crime and law enforcement, 8), (Government operations and politics, 6), (Health, 3), (Immigration, 2), (Environmental protection, 2)]",303.0,84.14,blue,20,0.228571428571,senate,115
W000779,16,54,223,0.708321835116,36,-0.314,0.0,Ron Wyden,D,22,54,0.733333333333,29,OR,"[(International affairs, 24), (Government operations and politics, 20), (Crime and law enforcement, 18), (Armed forces and national security, 16), (Public lands and natural resources, 15)]","[(Taxation, 8), (Public lands and natural resources, 7), (Crime and law enforcement, 6), (Health, 5), (Armed forces and national security, 5)]",303.0,90.1,blue,20,0.296296296296,senate,115
S001184,10,16,98,0.665069057926,50,0.669,0.33,Tim Scott,R,5,16,0.427083333333,40,SC,"[(Finance and financial sector, 12), (Labor and employment, 11), (Health, 10), (Crime and law enforcement, 8), (International affairs, 8)]","[(Taxation, 4), (Sports and recreation, 2), (Crime and law enforcement, 2), (Health, 2), (Education, 2)]",303.0,98.68,red,20,0.625,senate,115
M001176,2,16,269,0.659307978267,46,-0.436,0.99,Jeff Merkley,D,9,16,0.8625,9,OR,"[(International affairs, 32), (Health, 23), (Taxation, 23), (Armed forces and national security, 22), (Government operations and politics, 21)]","[(Energy, 4), (Health, 3), (Native Americans, 3), (Public lands and natural resources, 2), (Finance and financial sector, 1)]",303.0,87.0,blue,20,0.125,senate,115
T000476,4,9,152,0.888639686337,5,0.441,3.63,Thom Tillis,R,3,9,0.333333333333,48,NC,"[(Armed forces and national security, 33), (Crime and law enforcement, 24), (International affairs, 14), (Finance and financial sector, 12), (Health, 10)]","[(Immigration, 2), (Crime and law enforcement, 1), (Animals, 1), (Energy, 1), (Finance and financial sector, 1)]",303.0,99.32,red,20,0.444444444444,senate,115
M001170,15,23,150,0.960666666667,2,-0.147,4.29,Claire McCaskill,D,11,23,0.965217391304,2,MO,"[(Government operations and politics, 27), (Health, 20), (Armed forces and national security, 13), (Crime and law enforcement, 10), (Taxation, 8)]","[(Government operations and politics, 6), (Armed forces and national security, 4), (Emergency management, 2), (Transportation and public works, 2), (Education, 2)]",303.0,87.59,blue,20,0.652173913043,senate,115
S001181,12,43,243,0.753695789807,25,-0.272,0.33,Jeanne Shaheen,D,9,43,0.948837209302,3,NH,"[(Health, 37), (International affairs, 29), (Armed forces and national security, 23), (Taxation, 22), (Government operations and politics, 14)]","[(International affairs, 11), (Energy, 6), (Health, 5), (Crime and law enforcement, 4), (Taxation, 3)]",303.0,95.7,blue,20,0.279069767442,senate,115
C000567,0,2,102,0.802040007922,21,0.286,9.9,Thad Cochran,R,39,2,0.5,20,MS,"[(Health, 18), (Crime and law enforcement, 12), (Taxation, 10), (Armed forces and national security, 8), (Finance and financial sector, 8)]","[(Public lands and natural resources, 2)]",303.0,99.27,red,20,0.0,senate,115
V000128,1,9,223,0.728656433253,31,-0.4,1.32,Chris Van Hollen,D,1,9,0.666666666667,37,MD,"[(Health, 24), (Armed forces and national security, 23), (Government operations and politics, 23), (International affairs, 21), (Crime and law enforcement, 20)]","[(Finance and financial sector, 1), (Congress, 1), (Taxation, 1), (Transportation and public works, 1), (Immigration, 1)]",303.0,95.65,blue,20,0.111111111111,senate,115
